Time Stamp,Region ID,Filtered,RSS,CL1,CL2,CL3,Red Info,GSS,RP1H,RP1L,EDR,Green R^2,Green Info,VSS,RP2H,RP2L,Violet Spare1,Violet R^2,Violet Info,Bead Info
1281511614,81,0,10693.36328,22439.70703,5348.83984,1691.58984,0,5801.32813,748.77661,729.61023,6006.54932,0,0,3703.46875,20741.67188,27090.36133,0,0,1,0
1281511984,0,1,17372.02344,65.10547,5329.77344,2337.95703,0,3846.67578,150775.8906,2728323.25,4530716.5,0,2,3298.57422,4.32422,8.98438,0,0,0,0
1281514162,102,0,10220.16406,54.23828,81.78906,137.99609,0,4544.73047,136040.1875,1496355.75,1568730.375,0,2,3906.11328,10.28906,9.92773,0,0,0,0
1281520582,102,0,15746.78906,65.58594,103.31641,173.57422,0,3819.29688,139998.0625,1458416.125,1503940,0,2,3888.36328,7.10156,6.64844,0,0,0,0
1281521127,81,0,15623.32031,23261.35938,5295.87891,1709.3125,0,3738.00781,344.2222,342.34418,16790.12891,0,0,3244.69141,19390.25586,22615.24414,0,0,1,0
1281523945,81,0,11239.72266,25056.76563,5428.6875,1747.42969,0,4188.34766,463.6311,467.48367,11430.53418,0,0,2216.84766,22209.4043,35013.85938,0,0,1,0
1281524924,500,0,9717.48828,10440.32813,6365.92969,7517.94141,0,3285.15625,285.23138,276.93594,3489.25635,0,0,3637.17969,7.48242,0,0,0,0,0
1281525205,374,0,11156.50781,655.59375,1677.39844,8721.04297,0,6341.55859,3116.9729,3101.09033,0,0,0,3668.59766,0.66211,0.4043,0,0,0,0
1281527498,153,0,11442.90625,61.54297,5000.08984,9349.67188,0,3504.92969,357.36823,341.85052,5785.78809,0,0,3744.25781,1955.03516,1958.72852,0,0,0,0
1281528809,71,0,10278.64844,57.19922,4576.57813,2029.54297,0,5775.8125,150620.0469,2742324.75,4574016.5,0,2,2802.83203,5.33008,11.14063,0,0,0,0
1281530048,102,0,9225.28125,49.9375,77.55469,128.89844,0,5560.14453,139899.3438,1413330.5,1498053,0,2,3877,4.76563,6.96289,0,0,0,0
1281530269,500,0,14436.21484,12946.27734,7781.96875,9303.09375,0,3774.89453,341.78613,687.89703,0,0,0,3645.05859,8.62109,11.45508,0,0,0,0
1281532331,71,0,13005.95313,65.23828,5264.36328,2329.32031,0,6816.30859,151691.4688,2728364,4509998.5,0,2,3645.51953,5.79688,10.60156,0,0,0,0
1281532979,81,0,12763.87891,24229.53516,6193.82031,2030.36328,0,3699.39453,493.76501,488.71051,20653.45313,0,0,3023.78125,19452.64648,24796.74023,0,0,1,0
1281535147,153,0,14404.60938,68.66406,5329.36719,9861.59375,0,4194.94531,195.55933,198.19926,40469.85547,0,0,3533.83594,1544.13281,1550.47852,0,0,0,0
1281546763,500,0,10922.10938,12365.23828,7382.17188,8783.88672,0,4610.54688,231.55263,211.03409,48309.94922,0,0,2388.83203,7.18359,6.69336,0,0,0,0
1281554784,81,0,16899.18359,21935.625,4816.92578,1518.27344,0,3684.91016,212.10722,210.04678,20021.83008,0,0,3140.69141,18849.05859,21465.06445,0,0,1,0
1281555651,81,0,10160.85547,18127.58984,4294.90234,1369.41797,0,3268.50391,614.63342,616.07141,0,0,0,2842,19035.88477,22183.9043,0,0,1,0
1281557661,102,0,10889.09766,56.62109,89.19531,148,0,6803.39453,141800.6563,1504615.25,1618300.5,0,2,3353.9375,12.4043,13.88086,0,0,0,0
1281558374,153,0,10246.75391,53.04297,4672.82813,9635.22656,0,3341.84375,79.92789,99.46986,6987.71094,0,0,3210.10547,1385.96094,1389.43359,0,0,0,0
1281558539,374,0,8734.34375,560.07813,1281.78125,6783.39063,0,3978.79688,3559.58105,3558.948,0,0,0,3262.125,0,0.98828,0,0,0,0
1281561213,378,0,12487.98438,1147.96875,327.03906,343.99219,0,5505.09375,19133.30664,19231.25195,0,0,0,3243.29688,12262.91992,12308.50391,0,0,1,0
1281562396,0,0,10860.26563,6356.75781,1708.35156,594.55078,0,4014.99609,3839.58618,3882.53345,9281.17676,0,0,3440.68359,1749.93164,1750.15625,0,0,0,0
1281570522,0,0,8199.78906,1210.94141,0,0,0,4407.95703,387.70605,423.30228,0,0,0,1259.01563,0,0,0,0,0,0
1281570633,0,0,8710.08203,0,4812.07031,8975.97266,0,2622.96484,0,0,18378.38477,0,0,2330.78125,1485.30664,1493.24805,0,0,0,0
1281576266,102,0,10271.25391,58.47266,90.42578,147.67578,0,5514.20703,142369.2188,1381154.625,1493938.25,0,2,2909.10156,4.04688,4.94141,0,0,0,0
1281582279,374,0,9930.13672,626.125,1612.69922,8625.21875,0,5672.48047,3326.80493,3343.47095,40684.48438,0,0,3570.44922,0.73633,2.33594,0,0,0,0
1281586108,374,0,15526.72656,738.23047,1811.57031,9730.24219,0,3618.75391,3651.69995,3673.96753,33659.97656,0,0,3587.21875,3.99219,0.04492,0,0,0,0
1281590560,22,0,16670.28906,1418.73438,213.73828,61.65625,0,3979.86719,604.82489,611.38177,19049.86719,0,0,3564.77344,182.56836,188.58203,0,0,0,0
1281598548,352,0,8415.64063,554.43359,1142.69141,2209.10156,0,4273.9375,117893.3203,204786.4844,202067.1875,0,1,2562.51563,3.85156,9.97266,0,0,0,0
1281603337,374,0,12524.37109,614.66797,1566.78906,8249.55078,0,3324.41797,2912.84985,2943.37012,15812.03418,0,0,3410.95313,8.62695,9.52344,0,0,0,0
1281609044,22,0,10513.50781,1230.84375,194.66797,53.88672,0,4615.99219,631.80377,669.13849,37253.48438,0,0,3945.77734,167.19727,163.69531,0,0,0,0
1281611460,22,0,15422.67969,1362.84766,213.84766,60.13281,0,3420.66406,748.74445,739.97681,12819.49121,0,0,3199.4375,195.22656,197.92578,0,0,0,0
